TN,SPT,GTC,LS
110,2,0,0
150,3,100,1
163,2,100,0
150,2,300,1
445,3,800,1
325,1,260,0
294,4,400,1
213,1,250,0
70,0,0,0
80,1,0,0
375,2,330,1
145,0,0,0
67,2,0,0
165,2,180,1
255,2,180,1
350,4,180,0
165,3,0,0
70,1,0,0
100,2,0,0
90,1,0,1
215,0,120,1
60,0,0,1
255,1,190,0
105,1,60,0
285,3,170,0
170,2,60,0
174,0,100,1
305,0,150,1
205,2,80,1
175,2,150,0
180,2,70,0
205,3,350,0
295,4,340,0
153,3,400,1
130,2,80,1
126,2,80,0
505,2,880,0
415,2,500,1
225,2,300,1
110,2,200,1
215,3,400,0
109,3,90,0
153,3,120,1
125,1,60,0
76,2,100,0
375,2,280,0
143,2,150,0
79,2,200,1
235,2,100,0
154,2,100,0
305,2,120,1
205,1,140,1
120,2,200,0
145,1,150,0
295,2,180,1
265,3,160,1
225,3,210,0
120,1,260,1
152,1,260,1
255,2,240,1
150,3,350,0
210,3,400,1
130,2,300,1
235,2,210,0
145,4,260,0
255,2,240,0
135,3,350,0
215,2,320,1
149,2,380,0
235,2,400,0
275,2,360,0
205,3,500,0
238,4,550,0
280,4,480,1
239,1,600,0
155,2,410,1
222,2,240,0
120,2,250,0
106,2,280,1
180,3,380,0
145,4,300,0
130,3,400,1
131,4,350,0
154,1,300,1
182,1,320,0
140,1,300,0
285,3,300,1
145,4,350,1
235,3,600,1
165,3,550,0
239,4,500,1
255,4,600,1
235,2,500,1
205,2,800,1
201,3,500,0
205,4,700,1
225,4,500,0
130,1,180,0
131,3,150,0
127,3,140,0
184,2,50,1
195,1,50,0
165,2,60,0
265,2,70,0
210,3,80,0
133,1,50,0
155,1,110,1
128,0,110,0
215,0,120,0
213,3,130,0
184,4,140,1
310,3,60,0
129,1,80,0
165,3,100,0
145,3,110,0
155,2,120,1
130,2,100,0
120,2,180,1
190,2,200,0
180,2,400,1
165,2,110,0
155,2,120,0
130,2,120,0
120,3,100,0
145,3,160,0
155,2,150,0
245,2,250,1
215,3,260,1
235,2,300,0
195,2,300,1
145,2,80,0
135,1,50,0
126,1,50,0
133,1,100,0
130,2,180,1
130,2,190,0
180,1,200,0
170,1,220,0
155,2,250,1
170,3,300,1
180,2,300,0
163,3,400,0
235,2,400,0
170,2,100,0
255,2,50,0
265,1,50,1
255,2,300,1
165,1,120,0
130,2,150,0
130,1,150,0
120,4,100,1
155,4,200,1
170,2,250,1
145,3,170,1
135,1,180,0
165,2,250,1
150,3,100,1
163,2,100,0
150,2,300,1
445,3,800,1
325,1,260,0
294,4,400,1
213,1,250,0
70,0,0,0
80,1,0,0
375,2,330,1
145,0,0,0
67,2,0,0
165,2,180,1
255,2,180,1
350,4,180,0
165,3,0,0
70,1,0,0
100,2,0,0
90,1,0,1
215,0,120,1
60,0,0,1
255,1,190,0
105,1,60,0
285,3,170,0
170,2,60,0
174,0,100,1
305,0,150,1
205,2,80,1
175,2,150,0
180,2,70,0
205,3,350,0
295,4,340,0
153,3,400,1
130,2,80,1
126,2,80,0
505,2,880,0
415,2,500,1
225,2,300,1
110,2,200,1
215,3,400,0
109,3,90,0
153,3,120,1
125,1,60,0
76,2,100,0
375,2,280,0
143,2,150,0
79,2,200,1
235,2,100,0
154,2,100,0
305,2,120,1
205,1,140,1
120,2,200,0
145,1,150,0
295,2,180,1
265,3,160,1
225,3,210,0
120,1,260,1
152,1,260,1
255,2,240,1
150,3,350,0
210,3,400,1
130,2,300,1
235,2,210,0
145,4,260,0
255,2,240,0
135,3,350,0
215,2,320,1
149,2,380,0
235,2,400,0
275,2,360,0
205,3,500,0
238,4,550,0
280,4,480,1
239,1,600,0
155,2,410,1
222,2,240,0
120,2,250,0
106,2,280,1
180,3,380,0
145,4,300,0
130,3,400,1
131,4,350,0
154,1,300,1
182,1,320,0
140,1,300,0
285,3,300,1
145,4,350,1
235,3,600,1
165,3,550,0
239,4,500,1
255,4,600,1
235,2,500,1
205,2,800,1
201,3,500,0
205,4,700,1
225,4,500,0
130,1,180,0
131,3,150,0
127,3,140,0
184,2,50,1
195,1,50,0
165,2,60,0
265,2,70,0
210,3,80,0
133,1,50,0
155,1,110,1
128,0,110,0
215,0,120,0
213,3,130,0
184,4,140,1
310,3,60,0
129,1,80,0
165,3,100,0
145,3,110,0
155,2,120,1
130,2,100,0
120,2,180,1
190,2,200,0
180,2,400,1
165,2,110,0
155,2,120,0
130,2,120,0
120,3,100,0
145,3,160,0
155,2,150,0
245,2,250,1
215,3,260,1
235,2,300,0
195,2,300,1
145,2,80,0
135,1,50,0
126,1,50,0
133,1,100,0
130,2,180,1
130,2,190,0
180,1,200,0
170,1,220,0
155,2,250,1
170,3,300,1
180,2,300,0
163,3,400,0
235,2,400,0
170,2,100,0
255,2,50,0
265,1,50,1
255,2,300,1
165,1,120,0
130,2,150,0
130,1,150,0
120,4,100,1
155,4,200,1
170,2,250,1
145,3,170,1
135,1,180,0
165,2,250,1
